,Unnamed: 0,tripid,tripstarttime,tripendtime,pickuplat,pickuplong,dropofflat,dropofflong,pick_zipcode,drop_zipcode,pick_ca,drop_ca
0,0,cea195e476a81a1ad2a6a282282545ddf2bac825,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,,,41.89960211,-87.63330804,60666,60610,OHARE,WEST TOWN
1,1,31c9093d32a70ddec122543758cee2ddaad61bc0,2021-11-01T00:00:00.000,2021-11-01T08:00:00.000,,,,,60666,IL,OHARE,
2,2,0510e3cd960dfa054f36ca4b754b92c1ca7aef53,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.9442266,-87.65599818,60018,60657,OHARE,LAKEVIEW
3,3,d581ab63b9c31f3c54d9504fce92af060f6286bc,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.90120699,-87.67635599,60018,60622,OHARE,WEST TOWN
4,4,7d4e07a8eea4d6fdfa7a43771d11b48423123258,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,,,60018,IL,OHARE,
5,5,16c2c24d2e4dd8db57dc5821de64c961b3f7611e,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,,,,,60666,IL,OHARE,
6,6,af4a062154de887c0361b92249c626ee3cc11a8a,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.92268628,-87.64948873,60018,60614,OHARE,LOGAN SQUARE
7,7,92e4b609319e89f741ef90775536c2deeea6bfa5,2021-11-01T00:00:00.000,2021-11-01T00:00:00.000,41.90120699,-87.67635599,41.92268628,-87.64948873,60622,60614,WEST TOWN,LOGAN SQUARE
8,8,404a5fb7762c688c9dd39deaff9cf39f9d203c37,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.90120699,-87.67635599,60018,60622,OHARE,WEST TOWN
9,9,d63d8537ba0a001a3173304f2ce35a9d5cfea531,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.87886558,-87.62519214,41.90120699,-87.67635599,60604,60622,LOOP,WEST TOWN
10,10,c219d6d5230703de6d3f6b47f990f0cb25fc2e09,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,,,,,60666,IL,OHARE,
11,11,d47578fccfeb6baf436f3f3712554f734ba1b8b4,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.87886558,-87.62519214,60018,60604,OHARE,LOOP
12,12,221f65b0ba80e168c82c54bd98eac4700fbc6881,2021-11-01T00:00:00.000,2021-11-01T00:00:00.000,41.90120699,-87.67635599,41.92276062,-87.69915534,60622,60647,WEST TOWN,LOGAN SQUARE
13,13,1d95a0a36219dee13f55dc8ab461265ccb37af17,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.89960211,-87.63330804,60018,60610,OHARE,WEST TOWN
14,14,ae5453b1403fc308ebeab791581056248cd87d85,2021-11-01T00:00:00.000,2021-11-01T00:30:00.000,41.74124273,-87.5514282,,,60617,IL,EAST SIDE,
15,15,3f85a2bf34222ba39d9e8cfceaf24ed31685d5a9,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.79259236,-87.76961545,41.87886558,-87.62519214,60638,60604,MIDWAY,LOOP
16,16,4d6e4ce4457bfa0f12f0f7d8bd6b843db3e5622b,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.9442266,-87.65599818,41.80891628,-87.59618334,60657,60637,LAKEVIEW,WOODLAWN
17,17,00df677b4729d6385ff255caa3edbea1942eb810,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.97907082,-87.90303966,,,60666,IL,OHARE,
18,18,03a11fd055b58f7090aaf9e7396b80a12e296ed8,2021-11-01T00:00:00.000,2021-11-01T00:30:00.000,,,,,60666,IL,OHARE,
19,19,3ddb2f0ea882e2d2d63fe4ee4f08c95687d218c0,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,,,60018,IL,OHARE,
20,20,a8358e360ff3dd58c36af1d1829c6f30f4e78d61,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,41.92276062,-87.69915534,60018,60647,OHARE,LOGAN SQUARE
21,21,8b1e6a1148571e7d9ab180dbf0ffe2dc7759e3dc,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.9442266,-87.65599818,41.95358213,-87.72345239,60657,60618,LAKEVIEW,AVONDALE
22,22,fc4280b46018157c8976e70a958687ade1c1d41f,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.9442266,-87.65599818,41.92276062,-87.69915534,60657,60647,LAKEVIEW,LOGAN SQUARE
23,23,61b043baa21f861abf0ab19b85dcdeb78e7878d6,2021-11-01T00:00:00.000,2021-11-01T00:00:00.000,41.87400538,-87.66351755,41.89960211,-87.63330804,60607,60610,LOOP,WEST TOWN
24,24,44438cc73e9224d06863cd8c81ac92e14179296d,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,,,60018,IL,OHARE,
25,25,7ac91d3ab67a321ec5362cfb957cef05927a3520,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,,,41.87400538,-87.66351755,60666,60607,OHARE,LOOP
26,26,07c1af256f9721fe0ebd63a5a5ca94db9c688b68,2021-11-01T00:00:00.000,2021-11-01T00:00:00.000,41.9442266,-87.65599818,41.9442266,-87.65599818,60657,60657,LAKEVIEW,LAKEVIEW
27,27,fce82c138a421fd6e2a837845c988d97dadfae9a,2021-11-01T00:00:00.000,2021-11-01T00:30:00.000,41.98026432,-87.91362459999999,42.00962288,-87.67016686,60018,60626,OHARE,
28,28,1d2f1b37d10b1ada9994bc7be9af2de75a318b17,2021-11-01T00:00:00.000,2021-11-01T01:00:00.000,41.87400538,-87.66351755,42.00962288,-87.67016686,60607,60626,LOOP,
29,29,20e190ff86f2206d23efe6f622022c80a68c8cb4,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.89960211,-87.63330804,41.94779159,-87.68383494,60610,60625,WEST TOWN,ALBANY PARK
30,30,9b0da45a8659d98c4be4d5d42ba9a93b935ae4ef,2021-11-01T00:00:00.000,2021-11-01T00:00:00.000,41.9850151,-87.80453201,41.97882953,-87.7711667,60631,60630,NORWOOD PARK,FOREST GLEN
31,31,16cd9b65df7a929f1ace0d9c69c5b8a0f177c5f0,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.98026432,-87.91362459999999,,,60018,IL,OHARE,
32,32,93d53e9c93e6ec6bf620f0e11ac3643016786d4d,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.87886558,-87.62519214,,,60604,IL,LOOP,
33,33,52a2c2b3f4e033af4991eac9f7243090e9d7703d,2021-11-01T00:00:00.000,2021-11-01T00:45:00.000,41.87886558,-87.62519214,41.95358213,-87.72345239,60604,60618,LOOP,AVONDALE
34,34,3f89b8d70043fd0350d467bf35d0e9425646b5ef,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.89960211,-87.63330804,41.7632468,-87.61613411,60610,60619,WEST TOWN,AVALON PARK
35,35,ed11b122ca4de5b2ab13bd420c845269dc6df937,2021-11-01T00:00:00.000,2021-11-01T00:00:00.000,41.9442266,-87.65599818,41.96581197,-87.65587879,60657,60640,LAKEVIEW,EDGEWATER
36,36,07a1dc204e6bd917b7d09e66b0c68eef1be0baa0,2021-11-01T00:00:00.000,2021-11-01T00:00:00.000,41.90120699,-87.67635599,41.89960211,-87.63330804,60622,60610,WEST TOWN,WEST TOWN
37,37,b13512138136e4645452220f5f55be8647abdac7,2021-11-01T00:00:00.000,2021-11-01T00:15:00.000,41.85718386,-87.62033462,41.76157791,-87.57278199,IL,60649,,SOUTH CHICAGO
38,38,ba761477b5b8240facc6c19c3516f5f6150866b1,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,41.87886558,-87.62519214,41.79259236,-87.76961545,60604,60638,LOOP,MIDWAY
39,39,ef21e061e6f1b31e1aeef42e78f87b5d5169e86a,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,,,41.87400538,-87.66351755,60666,60607,OHARE,LOOP
40,40,bb47bf94a25326de1466780704950b03fd705f92,2021-10-31T23:45:00.000,2021-11-01T00:30:00.000,41.98026432,-87.91362459999999,41.9442266,-87.65599818,60018,60657,OHARE,LAKEVIEW
41,41,59707243d9d893a76325f42306c1320970b8c5f3,2021-10-31T23:45:00.000,2021-10-31T23:45:00.000,41.92276062,-87.69915534,41.92276062,-87.69915534,60647,60647,LOGAN SQUARE,LOGAN SQUARE
42,42,3f0111dcaad30a88548cd861f26a4f3c9bd71f14,2021-10-31T23:45:00.000,2021-11-01T00:00:00.000,,,41.85026637,-87.66756931,60666,60608,OHARE,NORTH LAWNDALE
