zipcode,communityareas
60647,HERMOSA
60619,PULLMAN
60625,NORTH PARK
60616,NEAR SOUTH SIDE
60649,WOODLAWN
60641,IRVING PARK
60633,PULLMAN
60630,NORTH PARK
60617,SOUTH CHICAGO
60655,MORGAN PARK
60619,CHATHAM
60614,LOGAN SQUARE
60608,LOWER WEST SIDE
60634,PORTAGE PARK
60651,AUSTIN
60706,PORTAGE PARK
60637,SOUTH SHORE
60624,NORTH LAWNDALE
60619,BURNSIDE
60609,GRAND BOULEVARD
60632,BRIGHTON PARK
60609,DOUGLAS
60612,NEAR WEST SIDE
60609,FULLER PARK
60632,SOUTH LAWNDALE
60623,NORTH LAWNDALE
60642,LOGAN SQUARE
60617,HEGEWISCH
60612,EAST GARFIELD PARK
60007,OHARE
60641,BELMONT CRAGIN
60637,HYDE PARK
60618,LOGAN SQUARE
60629,CHICAGO LAWN
60606,LOOP
60618,ALBANY PARK
60612,HUMBOLDT PARK
60637,GREATER GRAND CROSSING
60622,LOGAN SQUARE
60641,HERMOSA
60616,NEAR WEST SIDE
60609,WASHINGTON PARK
60646,NORWOOD PARK
60610,WEST TOWN
60616,BRIDGEPORT
60617,AVALON PARK
60630,JEFFERSON PARK
60619,SOUTH SHORE
60827,RIVERDALE
60619,GREATER GRAND CROSSING
60660,EDGEWATER
60609,GAGE PARK
60628,ROSELAND
60643,MORGAN PARK
60630,NORWOOD PARK
60639,AVONDALE
60630,ALBANY PARK
60619,CALUMET HEIGHTS
60608,MCKINLEY PARK
60707,AUSTIN
60612,WEST TOWN
60628,RIVERDALE
60707,DUNNING
60615,WASHINGTON PARK
60633,HEGEWISCH
60646,JEFFERSON PARK
60654,WEST TOWN
60609,NEW CITY
60622,HUMBOLDT PARK
60707,BELMONT CRAGIN
60656,NORWOOD PARK
60827,WEST PULLMAN
60643,WEST PULLMAN
60605,LOOP
60619,ROSELAND
60609,ARMOUR SQUARE
60629,ASHBURN
60629,GARFIELD RIDGE
60641,PORTAGE PARK
60617,CALUMET HEIGHTS
60607,NEAR WEST SIDE
60620,ASHBURN
60616,DOUGLAS
60629,CLEARING
60106,OHARE
60632,GARFIELD RIDGE
60632,GAGE PARK
60624,AUSTIN
60630,PORTAGE PARK
60659,FOREST GLEN
60616,LOWER WEST SIDE
60661,NEAR WEST SIDE
60608,BRIDGEPORT
60018,OHARE
60634,OHARE
60620,CHATHAM
60625,ALBANY PARK
60605,NEAR SOUTH SIDE
60707,MONTCLARE
60609,BRIGHTON PARK
60629,WEST LAWN
60639,BELMONT CRAGIN
60639,HERMOSA
60661,WEST TOWN
60632,MCKINLEY PARK
60628,PULLMAN
60634,DUNNING
60641,ALBANY PARK
60643,BEVERLY
60176,OHARE
60609,MCKINLEY PARK
60606,NEAR WEST SIDE
60629,GAGE PARK
60636,CHICAGO LAWN
60647,WEST TOWN
60630,IRVING PARK
60616,ARMOUR SQUARE
60617,SOUTH DEERING
60620,ENGLEWOOD
60647,HUMBOLDT PARK
60646,NORTH PARK
60649,SOUTH SHORE
60804,AUSTIN
60620,AUBURN GRESHAM
60644,AUSTIN
60601,LOOP
60636,GAGE PARK
60629,WEST ELSDON
60615,HYDE PARK
60634,MONTCLARE
60621,GREATER GRAND CROSSING
60608,SOUTH LAWNDALE
60642,WEST TOWN
60624,EAST GARFIELD PARK
60653,GRAND BOULEVARD
60652,WEST LAWN
60607,LOOP
60604,LOOP
60628,WEST PULLMAN
60603,LOOP
60632,WEST ELSDON
60615,KENWOOD
60624,WEST GARFIELD PARK
60637,WASHINGTON PARK
60651,WEST TOWN
60647,AVONDALE
60602,LOOP
60637,WOODLAWN
60631,OHARE
60639,AUSTIN
60617,EAST SIDE
60620,BEVERLY
60624,HUMBOLDT PARK
60612,NORTH LAWNDALE
60609,BRIDGEPORT
60131,OHARE
60634,BELMONT CRAGIN
60714,FOREST GLEN
60620,WASHINGTON HEIGHTS
60619,AVALON PARK
60651,HUMBOLDT PARK
60630,FOREST GLEN
60653,DOUGLAS
60640,EDGEWATER
60652,ASHBURN
60643,WASHINGTON HEIGHTS
60636,WEST ENGLEWOOD
60628,MORGAN PARK
60623,SOUTH LAWNDALE
60621,ENGLEWOOD
60608,NEAR WEST SIDE
60641,AVONDALE
60632,ARCHER HEIGHTS
60639,HUMBOLDT PARK
60653,OAKLAND
60655,MOUNT GREENWOOD
60620,GREATER GRAND CROSSING
60656,OHARE
60649,SOUTH CHICAGO
60615,GRAND BOULEVARD
60636,ENGLEWOOD
60654,NEAR WEST SIDE
60621,WASHINGTON PARK
60804,GARFIELD RIDGE
60706,OHARE
60622,WEST TOWN
60618,IRVING PARK
60646,FOREST GLEN
60659,NORTH PARK
60655,BEVERLY
60628,WASHINGTON HEIGHTS
60633,SOUTH DEERING
60631,NORWOOD PARK
60647,LOGAN SQUARE
60639,LOGAN SQUARE
60620,ROSELAND
60653,KENWOOD
60608,NORTH LAWNDALE
60654,LOOP
60618,AVONDALE
60666,OHARE
60657,LAKEVIEW
60638,MIDWAY
